DateTime,Entries,UniqueIPs
1481937876,4272,4272
1481938587,4273,4273
1481939319,4276,4276
1481940077,4285,4285
1481940757,4277,4277
1481941454,4282,4282
1481942193,4287,4287
1481942899,4274,4274
1481943679,4269,4269
1481944351,4273,4273
1481945064,4252,4252
1481945779,4261,4261
1481946818,4247,4247
1481947511,4246,4246
1481948190,4248,4248
1481948909,4248,4248
1481949612,4254,4254
1481950351,4258,4258
1481951335,4256,4256
1481952044,4266,4266
1481952774,4263,4263
1481953463,4258,4258
1481954171,4256,4256
1481954902,4263,4263
1481955634,4268,4268
1481956361,4264,4264
1481957065,4260,4260
1481957775,4257,4257
1481958501,4247,4247
1481959236,4256,4256
1481959946,4254,4254
1481960660,4254,4254
1481961381,4252,4252
1481962144,4259,4259
1481962816,4253,4253
1481963564,4254,4254
1481964253,4265,4265
1481964985,4279,4279
1481965704,4287,4287
1481966435,4287,4287
1481967142,4291,4291
1481967864,4289,4289
1481968578,4295,4295
1481969308,4301,4301
1481970025,4303,4303
1481970741,4303,4303
1481971460,4315,4315
1481972174,4322,4322
1481972938,4318,4318
1481973616,4319,4319
1481974354,4335,4335
1481975059,4326,4326
1481975790,4333,4333
1481976783,4348,4348
1481977455,4351,4351
1481978192,4343,4343
1481978908,4349,4349
1481979674,4349,4349
1481980354,4335,4335
1481981056,4336,4336
1481981791,4334,4334
1481982494,4336,4336
1481983292,4347,4347
1481983975,4347,4347
1481984921,4338,4338
1481985619,4342,4342
1481986355,4352,4352
1481987336,4349,4349
1481988022,4345,4345
1481988757,4340,4340
1481989448,4349,4349
1481990491,4351,4351
1481991422,4352,4352
1481992092,4350,4350
1481992829,4343,4343
1481993540,4354,4354
1481994276,4347,4347
1481994973,4349,4349
1481995711,4348,4348
1481996418,4350,4350
1481997164,4335,4335
1481998122,4349,4349
1481998819,4355,4355
1481999561,4366,4366
1482000278,4360,4360
1482000977,4363,4363
1482001713,4362,4362
1482002420,4353,4353
1482003158,4352,4352
1482003851,4354,4354
1482004582,4345,4345
1482005304,4346,4346
1482006041,4342,4342
1482006747,4333,4333
1482007463,4341,4341
1482008178,4328,4328
1482008935,4328,4328
1482009611,4333,4333
1482010354,4324,4324
1482011057,4317,4317
1482011790,4321,4321
1482012502,4303,4303
1482013223,4313,4313
1482013941,4303,4303
1482014664,4304,4304
1482015383,4297,4297
1482016112,4301,4301
1482016825,4299,4299
1482017558,4292,4292
1482018259,4301,4301
1482018980,4307,4307
1482019723,4303,4303
1482020428,4299,4299
1482021140,4290,4290
1482021859,4282,4282
1482022578,4280,4280
1482023346,4280,4280
1482024016,4289,4289
1482024759,4289,4289
1482025448,4294,4294
1482026187,4285,4285
1482026907,4275,4275
1482027624,4273,4273
1482028338,4277,4277
1482029080,4266,4266
1482029781,4266,4266
1482030530,4252,4252
1482031210,4263,4263
1482031962,4269,4269
1482032648,4257,4257
1482033385,4253,4253
1482034180,4256,4256
1482035072,4249,4249
1482035783,4254,4254
1482036514,4250,4250
1482037264,4250,4250
1482037951,4254,4254
1482038658,4252,4252
1482039389,4250,4250
1482040095,4260,4260
1482040890,4263,4263
1482041543,4255,4255
1482042266,4257,4257
1482043007,4245,4245
1482043703,4244,4244
1482044517,4248,4248
1482045140,4253,4253
1482045863,4248,4248
1482046582,4246,4246
1482047314,4255,4255
1482048087,4267,4267
1482048743,4267,4267
1482049467,4261,4261
1482050178,4242,4242
1482050916,4269,4269
1482051669,4270,4270
1482052362,4275,4275
1482053057,4278,4278
1482053793,4276,4276
1482054505,4281,4281
1482055291,4291,4291
1482056220,4296,4296
1482056900,4307,4307
1482057625,4304,4304
1482058335,4322,4322
1482059077,4323,4323
1482059782,4321,4321
1482060504,4335,4335
1482061232,4337,4337
1482061939,4323,4323
1482062929,4340,4340
1482063884,4334,4334
1482064575,4324,4324
1482065315,4327,4327
1482066067,4337,4337
1482066753,4331,4331
1482067457,4337,4337
1482068192,4338,4338
1482068897,4343,4343
1482069682,4357,4357
1482070355,4352,4352
1482071053,4354,4354
1482071816,4362,4362
1482072502,4364,4364
1482073289,4366,4366
1482073945,4369,4369
1482074663,4381,4381
1482075387,4370,4370
1482076097,4368,4368
1482076875,4367,4367
1482077844,4364,4364
1482078503,4364,4364
1482079225,4369,4369
1482079935,4358,4358
1482080668,4348,4348
1482081380,4364,4364
1482082120,4353,4353
1482082825,4368,4368
1482083550,4363,4363
1482084530,4360,4360
1482085219,4356,4356
1482085955,4362,4362
1482086648,4366,4366
1482087383,4377,4377
1482088125,4384,4384
1482088822,4370,4370
1482089556,4380,4380
1482090256,4380,4380
1482090996,4381,4381
1482091699,4371,4371
1482092439,4379,4379
1482093145,4380,4380
1482093861,4378,4378
1482094580,4377,4377
1482095316,4368,4368
1482096012,4364,4364
1482096756,4357,4357
1482097448,4347,4347
1482098196,4341,4341
1482099159,4348,4348
1482099850,4330,4330
1482100674,4317,4317
1482101298,4308,4308
1482102077,4310,4310
1482103000,4313,4313
1482103697,4300,4300
1482104433,4296,4296
1482105135,4290,4290
1482105870,4285,4285
1482106840,4282,4282
1482107553,4278,4278
1482108282,4278,4278
1482108971,4282,4282
1482109711,4280,4280
1482110670,4275,4275
1482111381,4267,4267
1482112123,4261,4261
1482112869,4262,4262
1482113558,4263,4263
1482114258,4276,4276
1482114988,4268,4268
1482115695,4256,4256
1482116478,4246,4246
1482117140,4246,4246
1482117891,4242,4242
1482118838,4236,4236
1482119540,4237,4237
1482120272,4235,4235
1482120975,4241,4241
1482122014,4240,4240
1482122652,4236,4236
1482123387,4238,4238
1482124122,4239,4239
1482125085,4232,4232
1482126096,4239,4239
1482126741,4240,4240
1482127474,4245,4245
1482128180,4242,4242
1482128911,4245,4245
1482129612,4244,4244
1482130351,4236,4236
1482131059,4233,4233
1482131792,4244,4244
1482132496,4255,4255
1482133227,4262,4262
1482133938,4260,4260
1482134673,4265,4265
1482135398,4273,4273
1482136100,4275,4275
1482136831,4269,4269
1482137563,4270,4270
1482138271,4264,4264
1482139238,4268,4268
1482139954,4275,4275
1482140668,4290,4290
1482141413,4288,4288
1482142367,4292,4292
1482143056,4289,4289
1482143795,4288,4288
1482144499,4283,4283
1482145310,4284,4284
1482145940,4286,4286
1482146674,4280,4280
1482147380,4294,4294
1482148109,4295,4295
1482148888,4293,4293
1482149558,4290,4290
1482150251,4301,4301
1482150986,4315,4315
1482151701,4307,4307
1482152487,4293,4293
1482153136,4315,4315
1482153864,4315,4315
1482154585,4317,4317
1482155310,4327,4327
1482156082,4330,4330
1482156777,4335,4335
1482157463,4324,4324
1482158178,4325,4325
1482159407,4315,4315
1482160130,4301,4301
1482160817,4307,4307
1482161548,4310,4310
1482162255,4292,4292
1482162977,4312,4312
1482163729,4304,4304
1482164439,4308,4308
1482165202,4298,4298
1482165852,4316,4316
1482166588,4317,4317
1482167303,4327,4327
1482168285,4315,4315
1482168980,4325,4325
1482169710,4328,4328
1482170466,4343,4343
1482171147,4358,4358
1482171853,4362,4362
1482172586,4365,4365
1482173304,4357,4357
1482174101,4351,4351
1482174737,4350,4350
1482175466,4354,4354
1482176175,4349,4349
1482176906,4348,4348
1482177685,4345,4345
1482178364,4345,4345
1482179049,4346,4346
1482179878,4345,4345
1482180503,4346,4346
1482181289,4343,4343
1482181941,4349,4349
1482182663,4325,4325
1482183383,4331,4331
1482184116,4320,4320
1482184879,4327,4327
1482185924,4322,4322
1482186750,4319,4319
1482187453,4314,4314
1482188197,4314,4314
1482188905,4315,4315
1482189622,4304,4304
1482190344,4291,4291
1482191061,4281,4281
1482191777,4275,4275
1482192522,4274,4274
1482193213,4270,4270
1482193950,4267,4267
1482194653,4279,4279
1482195395,4269,4269
1482196106,4279,4279
1482197076,4282,4282
1482197781,4286,4286
1482198508,4283,4283
1482199276,4278,4278
1482199951,4269,4269
1482200652,4272,4272
1482201397,4274,4274
1482202105,4260,4260
1482202888,4254,4254
1482203533,4238,4238
1482204260,4239,4239
1482204981,4235,4235
1482205719,4245,4245
1482206473,4245,4245
1482207151,4251,4251
1482207852,4256,4256
1482208901,4260,4260
1482209550,4255,4255
1482210534,4265,4265
1482211476,4269,4269
1482212187,4264,4264
1482212917,4261,4261
1482213673,4258,4258
1482214381,4259,4259
1482215051,4258,4258
1482215795,4254,4254
